Benchmark started.
Connection established
Adding initial posts 
Initial posts added, 1.5552561283111572
{'db': 'test_perf', 'collections': 1, 'views': 0, 'objects': 400435, 'avgObjSize': 1095.922209597063, 'dataSize': 438845610.0, 'storageSize': 78286848.0, 'numExtents': 0, 'indexes': 1, 'indexSize': 3801088.0, 'fsUsedSize': 223008821248.0, 'fsTotalSize': 494586032128.0, 'ok': 1.0}
2018-08-02 16:06:03.652881, 0.0, started, 0, Thread-0, windows-400000-5----
2018-08-02 16:06:04.341035, 0.0030062198638916016, read, 1086, Thread-2, windows-400000-5----

2018-08-02 16:06:04.342037, 0.0020041465759277344, upvote, 0, Thread-4, windows-400000-5----

2018-08-02 16:06:04.343039, 0.0010020732879638672, post, 0, Thread-0, windows-400000-5----

2018-08-02 16:06:04.351044, 0.0009996891021728516, read, 1086, Thread-1, windows-400000-5----

2018-08-02 16:06:04.353046, 0.0009987354278564453, read, 1086, Thread-3, windows-400000-5----

2018-08-02 16:06:04.355047, 0.0009992122650146484, upvote, 0, Thread-2, windows-400000-5----

2018-08-02 16:06:04.355047, 0.0009992122650146484, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:04.356046, 0.0009996891021728516, upvote, 0, Thread-4, windows-400000-5----

2018-08-02 16:06:04.363052, 0.0009992122650146484, upvote, 0, Thread-1, windows-400000-5----

2018-08-02 16:06:04.365054, 0.0009992122650146484, read, 1086, Thread-3, windows-400000-5----

2018-08-02 16:06:04.367055, 0.001999378204345703, upvote, 0, Thread-0, windows-400000-5----

2018-08-02 16:06:04.368055, 0.0009992122650146484, upvote, 0, Thread-2, windows-400000-5----

2018-08-02 16:06:04.368055, 0.0009992122650146484, read, 1086, Thread-4, windows-400000-5----

2018-08-02 16:06:04.375057, 0.0010027885437011719, upvote, 0, Thread-1, windows-400000-5----

2018-08-02 16:06:04.377060, 0.0010001659393310547, upvote, 0, Thread-3, windows-400000-5----

2018-08-02 16:06:04.380063, 0.0020008087158203125, read, 1086, Thread-2, windows-400000-5----

2018-08-02 16:06:04.380063, 0.0010008811950683594, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:04.381063, 0.0010008811950683594, upvote, 0, Thread-4, windows-400000-5----

2018-08-02 16:06:04.387067, 0.0009984970092773438, upvote, 0, Thread-1, windows-400000-5----

2018-08-02 16:06:04.389069, 0.0009992122650146484, read, 1086, Thread-3, windows-400000-5----

2018-08-02 16:06:04.393074, 0.002000570297241211, read, 1086, Thread-2, windows-400000-5----

2018-08-02 16:06:04.393574, 0.0015006065368652344, read, 1086, Thread-4, windows-400000-5----

2018-08-02 16:06:04.394576, 0.0009999275207519531, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:04.399080, 0.00099945068359375, read, 1086, Thread-1, windows-400000-5----

2018-08-02 16:06:04.400581, 0.0009992122650146484, upvote, 0, Thread-3, windows-400000-5----

2018-08-02 16:06:04.405408, 0.0015041828155517578, read, 1086, Thread-2, windows-400000-5----

2018-08-02 16:06:04.405911, 0.0010008811950683594, read, 1086, Thread-4, windows-400000-5----

2018-08-02 16:06:04.406411, 0.0005016326904296875, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:04.411174, 0.000997781753540039, read, 1086, Thread-1, windows-400000-5----

2018-08-02 16:06:04.412172, 0.0010020732879638672, read, 2118, Thread-3, windows-400000-5----

2018-08-02 16:06:04.418178, 0.0009999275207519531, read, 2118, Thread-0, windows-400000-5----

2018-08-02 16:06:04.418178, 0.001999378204345703, read, 1086, Thread-4, windows-400000-5----
2018-08-02 16:06:04.419178, 0.00099945068359375, upvote, 0, Thread-2, windows-400000-5----


2018-08-02 16:06:04.423182, 0.0009982585906982422, read, 1086, Thread-1, windows-400000-5----

2018-08-02 16:06:04.424180, 0.0010013580322265625, read, 1086, Thread-3, windows-400000-5----

